vin,car_name,year,date,sale_price,times_viewed,body_type,transmission,variant,assured_buy,City,State,is_hot,rto,source,make,model,car_availability,total_owners,borker_quote,original_price,car_rating,ad_created_on,fitness_certificate,reserved,warranty_av
1HG265VK9543,bmw x1,2019,3/1/2019,126000,217,suv,automatic,sdrive 20d,FALSE,Seattle,WA,FALSE,gj01,,bmw,x1,,1,9943,9943.020123,good,3/1/2019 9:31:10,TRUE,FALSE,TRUE
1HG265VK8123,bmw x1,2021,3/10/2021,198757,7715,suv,automatic,sdrive 20d,TRUE,Denver,CO,TRUE,ts07,inperson_sale,bmw,x1,in_stock,1,201000,201000,great,3/10/2021 11:06:30,TRUE,FALSE,TRUE
1HG265VK9146,bmw x1,2021,3/4/2021,85029,5523,suv,automatic,sdrive 20d,TRUE,Houston,TX,TRUE,tn09,inperson_sale,bmw,x1,in_stock,2,84511,97182.1,great,3/4/2021 14:25:24,TRUE,TRUE,TRUE
1HG265VK7042,bmw x1,2021,3/23/2021,179375,3467,suv,automatic,sdrive 20d,TRUE,New York,NY,TRUE,mh12,inperson_sale,bmw,x1,in_stock,3,186299,186449.9,great,3/23/2021 10:30:40,TRUE,FALSE,TRUE
1HG265VK7088,bmw x1,2021,2/15/2021,79459,1469,suv,automatic,sdrive 20d,TRUE,New York,NY,TRUE,mh03,inperson_sale,bmw,x1,in_stock,1,78979,79469.9,great,2/15/2021 7:25:03,TRUE,FALSE,TRUE
1HG265VK6927,bmw x1,2021,3/1/2021,82039,2266,suv,automatic,sdrive 20d,TRUE,New York,NY,TRUE,mh46,inperson_sale,bmw,x1,in_stock,2,82770,82920.4,great,3/1/2021 12:33:00,TRUE,FALSE,TRUE
1HG265VK6860,bmw x1,2021,2/3/2021,80109,5387,suv,automatic,sdrive 20d,FALSE,New York,NY,TRUE,mh04,inperson_sale,bmw,x1,in_transit,2,83263,80119.9,great,2/3/2021 11:44:10,TRUE,FALSE,FALSE
1HG265VK7749,bmw x1,2021,1/9/2021,75959,2070,suv,automatic,sdrive 20d,TRUE,New Jersey,NJ,TRUE,mh04,inperson_sale,bmw,x1,in_transit,1,76222,75969.9,great,1/9/2021 9:37:34,TRUE,FALSE,TRUE
1HG265VK7738,bmw x1,2021,2/10/2021,68749,4800,suv,automatic,sdrive 20d,TRUE,New Jersey,NJ,TRUE,mh04,inperson_sale,bmw,x1,in_stock,3,69284,68759.9,great,2/10/2021 14:42:55,TRUE,FALSE,TRUE
1HG265VK7123,bmw x3,2021,4/2/2021,135208,1819,sedan,automatic,xdrive 20d,TRUE,New York,NY,TRUE,mh01,inperson_sale,bmw,x3,in_stock,3,135802,135952.1,great,4/2/2021 7:53:01,TRUE,FALSE,TRUE
